Wills Point, TX 75169|Sharston, Manchester, M22 4RG
Wills Point, TX|Sharston, Manchester, M22 4RG 
Stoney Creek, ON L8G 1L9|Sharston, Manchester, M22 4RG 
1116 St. Thomas Way|6 Harper Road
245 King St. E.|6 Harper Road
800-WIN-ASIA|0161 946 9484
888-WIN-ASIA|0161 946 9484
888-946-2742|0161 946 9484
www_gfa_org|www_gfa_ca
gfa.org|gfauk.org
gfa.ca|gfauk.org
Catalog |Catalogue 
catalog |catalogue 
Savior |Saviour 
Honor |Honour 
honor |honour 
labor |labour 
Centered |Centred 
centered |centred 
Center |Centre 
center |centre 
Color |Colour 
Colors |Colours 
color |colour 
favorite |favourite 
Tumor |Tumour 
tumor |tumour 
neighbor |neighbour 
Neighbor |Neighbour 
endeavor |endeavour 
meager |meagre 
flavor |flavour 
favor |favour 
armor |armour 
behavior |behaviour 
harbor |harbour 
fervor |fervour 
worshiping |worshipping 
marveled |marvelled 
